計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
以乳酸菌發酵提升芝麻粕與雞血之混合物應用於家禽飼料之價值,"[398, 457, 817, 1184]","乳酸菌, 芝麻粕, 發酵, 雞血",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本研究旨在利用乳酸菌種發酵芝麻粕與雞血之混合物，藉以提升其應用於家禽飼料之營養價值。第一年首先評估現有的菌株之蛋白質分解能力與抑菌能力，再篩選出能分解植酸及纖維的菌株，並釐定其最佳的發酵條件，包含pH值、溫度與芝麻粕-雞血之間乾基的比例，以供第二年度進行大批發酵時能達到效率提升之目的，與後續動物試驗檢測取代大豆粕或魚粉的效果，完成新興原料的開發。,"菌株, 植酸, 時能, 乳酸菌, 能力, 家禽, 混合物, 豆粕"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究-樹薯替代玉米為家禽能量飼料之研究,"[487, 730, 1087]","品種鑑定, 蛋雞飼料, 樹薯",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",本計畫擬延續已完成計畫，繼續探討樹薯於家禽飼料原料之利用性評估，並進一步分析國內民間現有之品種。收集民間樹薯品，進行其種原鑑定，並進行蛋雞飼養試驗以測定樹薯取代蛋雞飼料中玉米之可用比例及蛋雞生產性能及雞蛋品質等。預期可以推廣樹薯成為家禽能量飼料之原料，並提升農民之選擇活化休耕地之種植選項。,"家禽, 活化, 能量, 性能, 原料, 比例, 利用, 分析"
廢菇包添加樹薯粉及青割玉米製作肉牛用青貯料之研究,"[728, 954, 1031, 1088]","荷蘭閹公牛, 飼料價值, 廢菇包, 樹薯粉",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",利用廢菇包添加樹薯粉及青割玉米調製成青貯飼料以餵飼荷蘭閹公牛之飼料價值測定。依拉丁方格之試驗設計，以4頭荷蘭乳牛之閹公牛置於個別餵飼欄，分別餵予佔芻料乾物量0、25、50、75%之金針菇廢菇包添加樹薯粉及青割玉米以取代百慕達或盤固拉乾草。試驗飼糧之芻料乾物量佔總餵料量之70%，精料佔30%。以牛隻採食量、粗蛋白質與能量之消化率等估測廢菇包添加樹薯粉及青割玉米之青貯料餵飼肉牛之飼料價值。,"物量, 飼欄, 飼糧, 芻料, 精料, 消化率, 乳牛, 肉牛, 公牛, 方格, 能量"
建立高產優質飼料作物栽培生產模式-臺南區農業改良場,"[174, 644, 948]","水稻, 高產, 飼料",因應氣候變遷及糧食安全,"因應氣候變遷, 糧食安全",近年全球氣候異常，重大災變以不尋常頻率接連發生，致使地區性的糧食生產呈現不穩，對於糧食自給率偏低的我國，必須要有戰備存糧的戰略思考。為因應加入世界貿易組織（WTO）開放稻米市場，國內大量稻田休耕，長期沒有耕作的結果，不但地力沒有保持，造成病蟲越冬的溫床，對整個農業生態平衡產生影響。基於現有遺傳育種、栽培技術及生理代謝之基礎，進行專用稻的多元開發，適度活化休耕田，生產飼料原料，除可保住水田，?少熱島效應和防止洪害、減少徑流，發揮水田的重要生態意義，而且可以提高糧食自給率。,"水田, 溫床, 洪害, 地力, 耕田, 活化, 稻田, 稻米, 耕作, 生理"
茶樹耐低溫、高溫及乾旱品種(系)選育及產品之開發,"[617, 630, 1103]","茶, 逆境, 選育",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",台灣地處亞熱帶大陸邊緣之獨立性海島，受大陸性氣團及海洋性氣流之影響極大，故氣候變化較不穩定。夏季高溫多濕，且常有颱風及伴隨而來之豪雨或焚風，冬季及早春則有寒流及長期陰雨，對茶園生產影響很大。故若無ㄧ套合適應變機制將造成收量及品質下降，導致重大損失。本計畫整理歷年低溫或高溫及乾旱觀測數值，建立茶區農業氣象變化趨勢資料。蒐集及篩選耐逆境茶樹(大葉種、小葉種及山茶)，除可提供種原外，亦可選育出耐逆境新品種(系)，以降低氣候變遷所造成之損失。並 結合農業試驗所建置之農業氣象諮詢及預警系統，提供茶農對於氣象災害預防之參考。,"豪雨, 收量, 茶區, 蒐集, 大葉種, 山茶, 海洋性, 寒流, 整理"
因應氣候變遷之國際農業科技交流合作-抗、耐逆境水稻品種之開發(3),"[208, 267, 514, 632, 670, 748, 995, 1050]","外表型評估, 全球氣候變遷, 耐逆境基因, 逆境調適能力之水稻, 國際合作, 單一核?酸多型性, 種原評估/交換, 稻熱病/白葉枯病",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",近來由於全球氣候變遷造成水稻生長之非生物或生物逆境，加上暖化導致病蟲害大規模流行，使得逆境下對水稻生長乃至產量之影響愈難預測。如何開發具有高逆境調適能力之水稻新品種(Climate-ready rice)並強化改善現有品種之耐/抗逆境能力，培育抗病之水稻品種亦有其迫切性。是以本計畫為有效因應全球氣候變遷對我國糧食安全及相關產業所造成之衝擊，透過與國際稻米研究所(IRRI)及其相關機構密切合作，接軌新興之因應科技，將進行多項雙邊合作。先前101-102年度已與IRRI合作，完成耐旱、耐鹽、稻熱病、白葉枯病等逆境耐性之國際選拔程序之建立。今年目標包括應用臺灣與IRRI國際研究團隊之耐逆境篩選設備與系統，評估及確認臺灣優良水稻品種、IRRI提供貢獻親之種原及雜交新品系於臺灣及IRRI之逆境條件，包含外表型及基因型之檢定，並調和雙方的耐逆境性狀之表現評估與選拔系統使其一致化。另外則包括水稻耐逆境外表型評估技術之引入， 引入鑑定、接種稻熱病/白葉枯病生理小種之技術平台，耐逆境水稻種原之評估、引入國內推廣品種的選育工作，並加強國際種原耐逆境之調查工作，持續根據逆境耐受性的表現與IRRI進行國際種原材料及性狀資料交換，以及加強新世代水稻科研人員之培訓與研究能量建立，提升我國在氣候變遷下之水稻農糧產業之適應力及競爭力。,"逆境, 水稻"
耐逆境牛樟、泡桐與雜交桉種原選拔與利用(3/4),"[186, 513, 1179, 1180]","牛樟, 耐逆境, 雜交泡桐, 雜交桉",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",牛樟、雜交桉與雜交泡桐為台灣高價值經濟樹種，生技業、紙漿業與木材工業願意投資造林面積達2萬公頃以上。這些造林區在氣候變遷下，可能遭受乾害、強風、與病害的危害將極為嚴重。本計畫利用雜交育種並在低海拔區造林，進行選育抗熱、抗病與抗風樹種。危害桉樹與泡桐的病原體經純化培養，再感染商業化品系以選育抗病品種。經選育抗逆境品種，將以組織培養量產這些品系，提供產業造林所需苗木。為降低純系培養的風險，設計結合牛樟、雜交桉與雜交泡桐的混合林經營，利用快速生長的桉樹與泡桐提供庇蔭給材價為前二者10倍的牛樟。2013年的研究，我們在苗栗與台南各建立1.5公頃的混合林，2012年在花蓮區建立4公頃共3區。2013年共遭遇4個颱風侵襲，檢驗選拔耐逆境品系的抗風、耐熱、耐澇的抗性，選拔牛樟4個品系、桉樹3個品系、泡桐1個品系具有抗性能力。牛樟存活率約提昇10%，桉樹20%，泡桐50%。,"品系, 泡桐, 造林, 抗風, 抗性"
水稻種原耐熱性評估及利用,"[174, 649, 992]","水稻, 高溫逆境, 種原",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",因應全球暖化栽培環境氣溫升高對稻作產量及品質之衝擊，本研究建立水稻抽穗期耐熱篩選方法，引進熱帶地區水稻種原進行篩選以為因應，並且建立相關分子標誌篩選耐熱性種源，繁殖及選育相關耐熱品種系供進一步育種利用。,"稻作, 栽培, 水稻, 利用, 方法, 研究"
耐熱性小麥及大豆種原篩選與評估,"[104, 111, 994]","大豆, 小麥, 種原評估",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",自日本及美國種原中心引進以往台灣育成之耐熱性小麥種原，並從國家作物種原中心已保有之大豆種原中篩選耐高溫品種(系)100種，建立耐熱性種原的特性調查資料庫。利用田間或溫室人工高溫環境，觀察及篩選大豆及小麥品種(系)生長期間遭遇高溫逆境時作物的生育及結實特性，並調查收穫產量，確認其耐熱特性。,"特性, 作物, 大豆, 中心, 生育, 人工, 遭遇"
高產飼料稻米品種選育及生產模式之建?－農業試驗所,"[174, 956, 1010, 1164]","水稻, 飼料稻米, 聚合育種, 糧食自給率",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",近年全球氣候異常，重大災變以不尋常頻率接連發生，致使地區性的糧食生產呈現不穩，對於糧食自給率偏低的我國，必須要有戰備存糧的戰略思考。為因應加入世界貿易組織（WTO）開放稻米市場，國內大量稻田休耕，長期沒有耕作的結果，不但地力沒有保持，造成病蟲越冬的溫床，對整個農業生態平衡產生影響。基於現有遺傳育種、栽培技術及生理代謝之基礎，進行專用稻的多元開發，適度活化休耕田，生產飼料原料，除可保住水田，?少熱島效應和防止洪害、減少徑流，發揮水田的重要生態意義，而且可以提高糧食自給率。,"水田, 溫床, 洪害, 地力, 耕田, 活化, 稻田, 稻米, 耕作, 生理"
彙整國際米食加工發展趨勢，辦理米食加工技術交流之國際研討會暨專業座談會,"[193, 305, 501]","加工, 米食, 研討會",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",1.?匯整國際米食加工發展趨勢，針對重要米食加工學者研究、新穎米食加工研究、米食加工消費等題目，進行文獻搜尋整理。2.?辦理米食加工技術國際研討會暨專業座談會各一場，促進米食食加工技術交流。1. 匯整國際米食加工發展趨勢，針對重要米食加工學者研究、新穎米食加工研究、米食消費調查等面向進行，預訂撰寫文稿10篇。2. 辦理米食加工技術交流國際研討會1場: 邀請3位日本及1位韓國專家出席。研討會舉辦場地經農糧署指定或同意，研討會參加人數需達200人以上。3. 辦理米食加工技術交流專業座談會1場: 配合本次國際研討會辦理專業座談會，藉由與國內產官學界相關人士座談，可提昇對於國際米穀粉加工現況與產業推廣現況的了解。,"匯整, 研究, 加工, 經農, 糧署, 產官, 文稿, 面向, 整理"
應用魚漿製備調合米籽條技術之開發,"[304, 311, 743]","米籽條, 米穀粉, 魚漿",因應氣候變遷及糧食安全之農業創新研究,"因應氣候變遷, 糧食安全, 農業, 創新, 研究",在本篇研究中，將以不同比例米穀粉混合魚漿製成調合米籽條。目前還尚未有針對米穀粉混合魚漿製成魚肉調合米籽條的製程以及組織特性的研究，本計畫將針對製程、配方以及組織特性做探討。由於米穀粉及魚漿的營養特性，希望藉此計劃製備出健康、具新穎性之魚肉調合米籽條，期能技術移轉給相關業者，促進產學合作。,"特性, 混合, 期能, 產學, 配方, 研究, 合作, 比例"
